Predictor,Beta_Estimado,Beta_Estimado_2sls,se,se_2sls
"intercept",12.8540357973335,12.8540357973335,0.0281651336765209,0.0281651870425003
"phq_score",-0.0276070800839016,-0.0951460484910059,0.0257565821685235,0.0984342916002956
"edad",-0.00364358948419114,-0.00970815610420675,0.0376223580215711,0.0386724583165666
"sexo_Mujer",-0.233641157342288,-0.067255148264806,0.0292685841918336,0.0564830323282999
"niveleduc_Educacion Basica o Preparatoria incompleta",-0.0245083013113077,-0.0100953266166473,0.0307365588803346,0.00937142326470955
"niveleduc_Educacion Media o Humanidades completa",0.134125635130448,-0.0376152727711699,0.0415163220480273,0.046056590969944
"niveleduc_Educacion Media o Humanidades incompleta",0.0495677710082204,-0.0181903042316337,0.0267286600194006,0.0364074892582002
"niveleduc_Estudios de posgrado (magister o doctorado)",0.211146785032108,0.0170358786006156,0.0453848545339201,0.00527185619263649
"niveleduc_Sin estudios",-0.0908981770571541,-0.0432456325658788,0.089601595279219,0.0375399114583228
"niveleduc_Tecnica Superior completa",0.14147612578392,-0.0691559208383511,0.0446121835067537,0.0569081790558903
"niveleduc_Tecnica Superior incompleta",-0.0147902211574545,-0.0687055358195918,0.0586560237458102,0.0357941672338926
"niveleduc_Universitaria completa",0.362136466582737,-0.0206667082443202,0.0393607500767013,0.0331234532003576
"niveleduc_Universitaria incompleta",0.020652342628677,0.130127564724692,0.0451815174376687,0.0407207400585188
"estadocivil_Casado legalmente",-0.0683568002898147,0.0503527337571433,0.0561809172031113,0.0270160401928057
"estadocivil_Conviviente con Acuerdo de Union Civil",-0.0106640566260497,0.209731887250901,0.00923869486161396,0.0450630798222664
"estadocivil_Conviviente sin Acuerdo de Union Civil",-0.0407950998839942,-0.0902045236346772,0.0457342943156995,0.0898246756885702
"estadocivil_Divorciado",-0.0214034947464686,0.138690191516892,0.0358308509129366,0.0429436166985803
"estadocivil_Otro. Especifique",0.0161387837307669,-0.014581621104043,0.00517707231485499,0.0585377082981088
"estadocivil_Separado (casado legalmente, pero no vive con su esposo/a)",-0.0455145295278794,0.358652883486167,0.0369401622147361,0.0398328899738484
"estadocivil_Soltero",-0.073917891848924,0.0193901271702728,0.0566582308901425,0.0452475157389368
"estadocivil_Viudo",-0.0712775508885663,-0.221774667268438,0.0350066407985252,0.0308966600272185
